Altium Designer Pick and Place Locations
D:\2560_TrainingKit\DesignFiles\2560_TrainingKit\Project Outputs for 2560_TrainingKit\Pick Place\Pick Place for TK2560_PCB.txt

========================================================================================================================
File Design Information:

Date:       17/03/21
Time:       13:18
Revision:   34c0c42def87b35818836f5c07093a9550056cc0
Variant:    No variations
Units used: mm

Designator         Comment                Layer    Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
ESP1               ESP-01M                TopLayer ESP-01                          137.0700     108.5300     360      "TXRX ESP8266 MOD WIFI TRACE ANT"                                                                                                            
SW5                218-2LPST              TopLayer CTS_218-2LPJ                    119.5500     87.4250      90       "SWITCH SLIDE DIP SPST 25MA 24V"                                                                                                             
SW4                218-2LPST              TopLayer CTS_218-2LPJ                    155.8750     94.7250      90       "SWITCH SLIDE DIP SPST 25MA 24V"                                                                                                             
GPIO               HDR_2x8                TopLayer HDR_2x8                         6.4573       54.7300      0        "CONN HDR FEMALE 16POS 0.1 GOLD PCB"                                                                                                         
POTENTIOMETER      "POT 10K"              TopLayer 5MM_POT                         23.2374      86.7000      180      "Res Conductive Plastic POT 10K Ohm 20% 1/5W 1(Elec)/1(Mech)Turn 6mm Pin Panel Mount/Through Hole"                                           
Y2                 12MHz                  TopLayer ABRACON_ABLS                    161.3250     23.1300      270      "CRYSTAL 12.0000MHZ 30PF SMD"                                                                                                                
Y1                 16MHz                  TopLayer ABRACON_ABLS                    108.0500     44.3500      180      "CRYSTAL 16.0000MHZ 16PF SMD"                                                                                                                
U11                SN74AHC125NSR          TopLayer 14-SOIC_5.3MM                   142.9000     27.3850      360      "Buffer/Line Driver 4-CH Non-Inverting 3-ST CMOS 14-Pin SOP T/R"                                                                             
U10                ATTINY2313-20PU        TopLayer DIP20                           152.4250     27.7800      180      "ATMEL         ATTINY2313-20PU            8 Bit Microcontroller, Low Power High Performance, ATtiny, 20 MHz, 2 KB, 128 Byte, 20 Pins, DIP"   
U9                 L298N                  TopLayer Multiwatt15                     185.5481     101.4731     360      "Motor / Motion / Ignition Controllers & Drivers Dual Full Bridge"                                                                           
U8                 AT24C32D-SSHM-T        TopLayer 8-Pin_TTSOP                     88.4250      32.2750      180      "EEPROM Serial-2Wire 32K-bit 4K x 8 1.8V/2.5V/3.3V/5V 8-Pin SOIC T/R"                                                                        
U7                 DS3231SN               TopLayer 16_SO                           78.1750      34.5500      90       "MAXIM INTEGRATED PRODUCTS - DS3231SN#T&R - IC, RTC, Datum-/Zeitformat (Tag/Datum/Monat/Jahr, hh:mm:ss), I2C, 2.3V-5.5V Versorgung, SOIC-16" 
U6                 MC74HC595ADR2          TopLayer SOIC-16                         120.7250     38.9750      90       "IC SHIFT REGISTR 8BIT 3ST 16SOIC"                                                                                                           
U5                 MIC29302AWD-TR         TopLayer TO-252-5                        143.1800     61.0450      270      "IC REG LINEAR POS ADJ 3A TO252-5"                                                                                                           
U4                 TL1963A-33DCQR         TopLayer DCQ(R-PDSO-G6)                  157.1750     79.0250      360      "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                           
